timestamp,packet_id,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,battery,temperature
1760462332.3264906,0,152.8132087912088,222.60435164835167,-115.90892307692307,1.9465648854961832,160.8854961832061,-11.061068702290076,-234.2201834862385,-1032.7522935779816,0.3669724770642202,,
1760462332.3379817,1,160.24437362637363,228.12382417582415,-115.90892307692307,1.9465648854961832,165.7709923664122,-13.01526717557252,-210.7339449541284,-1079.7247706422015,0.3669724770642202,,
1760462332.348447,2,162.14887912087914,215.24505494505496,-126.94786813186812,1.9465648854961832,170.65648854961833,-13.01526717557252,-257.70642201834863,-1103.2110091743118,0.3669724770642202,,
1760462332.3590202,3,152.806021978022,231.80347252747256,-119.58857142857144,1.9465648854961832,175.54198473282443,-14.969465648854962,-210.7339449541284,-1103.2110091743118,0.3669724770642202,,
1760462332.369604,4,147.3656043956044,222.60435164835167,-126.94786813186812,1.9465648854961832,180.42748091603053,-11.061068702290076,-257.70642201834863,-1056.2385321100917,0.3669724770642202,,
1760462332.380147,5,152.83476923076924,-233.672043956044,-115.90892307692307,1.9465648854961832,185.31297709923663,-11.061068702290076,-257.70642201834863,-1103.2110091743118,0.3669724770642202,,
1760462332.390836,6,165.75665934065935,231.80347252747256,-126.94786813186812,1.9465648854961832,190.19847328244276,-14.969465648854962,-234.2201834862385,-1056.2385321100917,0.3669724770642202,,
1760462332.4015949,7,151.05962637362637,217.08487912087912,-123.26821978021978,1.9465648854961832,195.0839694656489,-11.061068702290076,-281.1926605504587,-1079.7247706422015,0.3669724770642202,,
1760462332.4122996,8,141.8605054945055,217.08487912087912,-119.58857142857144,1.9465648854961832,199.96946564885496,-14.969465648854962,-304.6788990825688,-1079.7247706422015,0.3669724770642202,,
1760462332.4230392,9,147.38716483516484,220.7645274725275,-125.10804395604396,1.9465648854961832,204.85496183206104,-14.969465648854962,-304.6788990825688,-1056.2385321100917,0.3669724770642202,,
1760462332.4338274,10,152.84195604395606,226.284,-126.94786813186812,1.9465648854961832,209.7404580152672,-14.969465648854962,-234.2201834862385,-1079.7247706422015,0.3669724770642202,,
1760462332.444454,11,154.73927472527475,233.64329670329676,-126.94786813186812,1.9465648854961832,214.6259541984733,-16.923664122137403,-304.6788990825688,-1079.7247706422015,0.3669724770642202,,
1760462332.4553044,12,141.82457142857143,209.7255824175824,-123.26821978021978,1.9465648854961832,219.5114503816794,-13.01526717557252,-210.7339449541284,-1079.7247706422015,0.3669724770642202,,
1760462332.4659412,13,163.9743296703297,222.60435164835167,-123.26821978021978,1.9465648854961832,224.3969465648855,-13.01526717557252,-257.70642201834863,-1103.2110091743118,0.3669724770642202,,
1760462332.4871132,14,151.0165054945055,211.5654065934066,-119.58857142857144,1.9465648854961832,229.2824427480916,-13.01526717557252,-234.2201834862385,-1056.2385321100917,0.3669724770642202,,
1760462332.5189884,15,156.5287912087912,226.284,-115.90892307692307,1.9465648854961832,234.1679389312977,-11.061068702290076,-234.2201834862385,-1056.2385321100917,0.3669724770642202,,
1760462332.5298033,16,152.90663736263735,213.4052307692308,-115.90892307692307,1.9465648854961832,239.05343511450383,-11.061068702290076,-257.70642201834863,-1032.7522935779816,0.3669724770642202,,
1760462332.551043,17,145.53296703296704,-229.9923956043956,-128.7876923076923,1.9465648854961832,243.93893129770996,-13.01526717557252,-210.7339449541284,-1079.7247706422015,0.3669724770642202,,
1760462332.5617943,18,130.7353186813187,228.12382417582415,-130.6275164835165,1.9465648854961832,248.82442748091603,-14.969465648854962,-234.2201834862385,-1079.7247706422015,0.3669724770642202,,
