timestamp,packet_id,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,battery
1760130045.2707224,0,-105.32274725274725,17.147736263736263,-7.301802197802198,-85.93129770992367,0.030534351145038167,-0.5343511450381679,21.100917431192663,-1759.1743119266057,-939.4495412844037,0.0
1760130045.30284,1,3.4065494505494507,119.58857142857143,152.31013186813186,15.717557251908397,15.603053435114504,9.427480916030534,-1691.0091743119267,-540.2752293577981,563.6697247706422,0.0
1760130045.3133585,2,1.5451648351648353,3.4065494505494507,-115.90892307692309,161.793893129771,15.725190839694656,15.587786259541986,113.48623853211008,-1385.6880733944954,-328.89908256880733,0.0
1760130045.334351,3,-128.64395604395605,-84.63191208791208,-58.87437362637363,0.007633587786259542,-97.21374045801527,22.12213740458015,-140.1834862385321,-1079.7247706422017,0.3669724770642202,0.0
1760130045.365907,4,-126.89756043956045,-73.59296703296704,-62.554021978021986,0.007633587786259542,-92.32824427480917,20.16793893129771,-116.69724770642202,-1079.7247706422017,0.3669724770642202,0.0
1760130045.3766582,5,-124.90681318681318,-77.27261538461539,-62.554021978021986,0.007633587786259542,-87.44274809160305,22.12213740458015,-116.69724770642202,-1056.2385321100917,0.3669724770642202,0.0
1760130045.397943,6,-121.20560439560441,-75.43279120879122,-62.554021978021986,0.007633587786259542,-82.55725190839695,22.12213740458015,-140.1834862385321,-1079.7247706422017,0.3669724770642202,0.0
1760130045.429638,7,-124.97868131868131,-79.11243956043957,-68.07349450549451,0.007633587786259542,-77.67175572519083,22.12213740458015,-140.1834862385321,-1079.7247706422017,0.3669724770642202,0.0
1760130045.440375,8,-134.04125274725274,-73.59296703296704,-66.23367032967033,0.007633587786259542,-72.78625954198473,22.12213740458015,-116.69724770642202,-1056.2385321100917,0.3669724770642202,0.0
1760130045.4616835,9,-121.19123076923078,-80.95226373626375,-51.515076923076926,0.007633587786259542,-67.90076335877863,20.16793893129771,-116.69724770642202,-1103.2110091743118,0.3669724770642202,0.0
1760130045.472362,10,-139.6900879120879,-64.39384615384616,-66.23367032967033,0.007633587786259542,-63.01526717557252,18.213740458015266,-116.69724770642202,-1103.2110091743118,0.3669724770642202,0.0
1760130045.4936814,11,-128.5720879120879,-77.27261538461539,-62.554021978021986,0.007633587786259542,-58.12977099236641,24.076335877862597,-116.69724770642202,-1032.7522935779816,0.3669724770642202,0.0
1760130045.5254295,12,-124.9714945054945,-77.27261538461539,-62.554021978021986,0.007633587786259542,-53.2442748091603,20.16793893129771,-140.1834862385321,-1103.2110091743118,0.3669724770642202,0.0
1760130045.5361469,13,-132.36672527472527,-69.91331868131869,-62.554021978021986,0.007633587786259542,-48.3587786259542,22.12213740458015,-140.1834862385321,-1056.2385321100917,0.3669724770642202,0.0
